timestamp,price,percent_change_24h,volatility
2025-03-09 17:00:00,0.437446,,
2025-03-10 17:00:00,0.427256,-2.33,2.33
2025-03-11 17:00:00,0.426791,-0.11,0.11
2025-03-12 17:00:00,0.451935,5.89,5.89
2025-03-13 17:00:00,0.484173,7.13,7.13
2025-03-14 17:00:00,0.530639,9.6,9.6
2025-03-15 17:00:00,0.550481,3.74,3.74
2025-03-16 17:00:00,0.494895,-10.1,10.1
2025-03-17 17:00:00,0.500498,1.13,1.13
2025-03-18 17:00:00,0.494098,-1.28,1.28
2025-03-19 17:00:00,0.547903,10.89,10.89
2025-03-20 17:00:00,0.511379,-6.67,6.67
2025-03-21 17:00:00,0.503989,-1.45,1.45
2025-03-22 17:00:00,0.506814,0.56,0.56
2025-03-23 17:00:00,0.539494,6.45,6.45
2025-03-24 17:00:00,0.594186,10.14,10.14
2025-03-25 17:00:00,0.606744,2.11,2.11
2025-03-26 17:00:00,0.601829,-0.81,0.81
2025-03-27 17:00:00,0.603861,0.34,0.34
2025-03-28 17:00:00,0.541589,-10.31,10.31
2025-03-29 17:00:00,0.486695,-10.14,10.14
2025-03-30 17:00:00,0.4937,1.44,1.44
2025-03-31 17:00:00,0.484232,-1.92,1.92
2025-04-01 17:00:00,0.506144,4.53,4.53
2025-04-02 17:00:00,0.467827,-7.57,7.57
2025-04-03 17:00:00,0.484103,3.48,3.48
2025-04-04 17:00:00,0.500813,3.45,3.45
2025-04-05 17:00:00,0.49784,-0.59,0.59
2025-04-06 17:00:00,0.4376,-12.1,12.1
2025-04-07 17:00:00,0.43216,-1.24,1.24
2025-04-08 13:28:39,0.404026,-6.51,6.51
