timestamp,price,percent_change_24h,volatility
2025-03-09 17:00:00,1.003171,,
2025-03-10 17:00:00,0.998998,-0.42,0.42
2025-03-11 17:00:00,0.997972,-0.1,0.1
2025-03-12 17:00:00,1.000073,0.21,0.21
2025-03-13 17:00:00,0.99982,-0.03,0.03
2025-03-14 17:00:00,0.999999,0.02,0.02
2025-03-15 17:00:00,0.999755,-0.02,0.02
2025-03-16 17:00:00,1.000272,0.05,0.05
2025-03-17 17:00:00,0.999965,-0.03,0.03
2025-03-18 17:00:00,1.000077,0.01,0.01
2025-03-19 17:00:00,0.998975,-0.11,0.11
2025-03-20 17:00:00,0.999767,0.08,0.08
2025-03-21 17:00:00,0.999958,0.02,0.02
2025-03-22 17:00:00,1.000122,0.02,0.02
2025-03-23 17:00:00,0.999568,-0.06,0.06
2025-03-24 17:00:00,0.999817,0.02,0.02
2025-03-25 17:00:00,1.000128,0.03,0.03
2025-03-26 17:00:00,0.99978,-0.03,0.03
2025-03-27 17:00:00,0.999858,0.01,0.01
2025-03-28 17:00:00,1.0002,0.03,0.03
2025-03-29 17:00:00,0.999805,-0.04,0.04
2025-03-30 17:00:00,1.000302,0.05,0.05
2025-03-31 17:00:00,1.000067,-0.02,0.02
2025-04-01 17:00:00,1.000469,0.04,0.04
2025-04-02 17:00:00,1.000121,-0.03,0.03
2025-04-03 17:00:00,1.001575,0.15,0.15
2025-04-04 17:00:00,0.999975,-0.16,0.16
2025-04-05 17:00:00,1.000712,0.07,0.07
2025-04-06 17:00:00,1.000375,-0.03,0.03
2025-04-07 17:00:00,0.999868,-0.05,0.05
2025-04-08 13:29:43,1.000005,0.01,0.01
