timestamp,price,percent_change_24h,volatility
2025-04-07 15:04:44,0.996846,-0.17,0.17
2025-04-07 16:04:39,0.996377,-0.05,0.05
2025-04-07 17:01:23,0.998544,0.22,0.22
2025-04-07 18:04:32,0.9974,-0.11,0.11
2025-04-07 19:04:25,0.997014,-0.04,0.04
2025-04-07 20:04:50,0.998467,0.15,0.15
2025-04-07 21:04:44,0.999692,0.12,0.12
2025-04-07 22:04:54,0.998268,-0.14,0.14
2025-04-07 23:04:36,0.998921,0.07,0.07
2025-04-08 00:03:21,0.998545,-0.04,0.04
2025-04-08 01:04:41,0.998749,0.02,0.02
2025-04-08 02:04:57,0.998616,-0.01,0.01
2025-04-08 03:04:39,0.997903,-0.07,0.07
2025-04-08 04:04:46,0.998571,0.07,0.07
2025-04-08 05:04:55,0.999854,0.13,0.13
2025-04-08 06:04:53,0.998842,-0.1,0.1
2025-04-08 07:04:33,0.998407,-0.04,0.04
2025-04-08 08:04:37,0.996906,-0.15,0.15
2025-04-08 09:04:49,0.998617,0.17,0.17
2025-04-08 10:04:46,0.997849,-0.08,0.08
2025-04-08 11:05:28,0.998075,0.02,0.02
2025-04-08 12:09:39,0.996135,-0.19,0.19
2025-04-08 13:09:12,0.997914,0.18,0.18
2025-04-08 13:30:38,0.998339,0.04,0.04
