timestamp,price,percent_change_24h,volatility
2025-03-09 17:00:00,0.436507,,
2025-03-10 17:00:00,0.426698,-2.25,2.25
2025-03-11 17:00:00,0.425511,-0.28,0.28
2025-03-12 17:00:00,0.451249,6.05,6.05
2025-03-13 17:00:00,0.485269,7.54,7.54
2025-03-14 17:00:00,0.531178,9.46,9.46
2025-03-15 17:00:00,0.549867,3.52,3.52
2025-03-16 17:00:00,0.496763,-9.66,9.66
2025-03-17 17:00:00,0.501293,0.91,0.91
2025-03-18 17:00:00,0.493668,-1.52,1.52
2025-03-19 17:00:00,0.550715,11.56,11.56
2025-03-20 17:00:00,0.510425,-7.32,7.32
2025-03-21 17:00:00,0.503283,-1.4,1.4
2025-03-22 17:00:00,0.505828,0.51,0.51
2025-03-23 17:00:00,0.538053,6.37,6.37
2025-03-24 17:00:00,0.594148,10.43,10.43
2025-03-25 17:00:00,0.606842,2.14,2.14
2025-03-26 17:00:00,0.600405,-1.06,1.06
2025-03-27 17:00:00,0.604359,0.66,0.66
2025-03-28 17:00:00,0.540803,-10.52,10.52
2025-03-29 17:00:00,0.485626,-10.2,10.2
2025-03-30 17:00:00,0.493116,1.54,1.54
2025-03-31 17:00:00,0.48381,-1.89,1.89
2025-04-01 17:00:00,0.505834,4.55,4.55
2025-04-02 17:00:00,0.468375,-7.41,7.41
2025-04-03 17:00:00,0.485335,3.62,3.62
2025-04-04 17:00:00,0.500778,3.18,3.18
2025-04-05 17:00:00,0.496778,-0.8,0.8
2025-04-06 17:00:00,0.439376,-11.55,11.55
2025-04-07 17:00:00,0.431997,-1.68,1.68
2025-04-08 13:29:25,0.403667,-6.56,6.56
